[SUM]  0.0- 1.0 sec  2.84 KBytes  23.2 Kbits/sec
[SUM]  1.0- 2.0 sec  52.5 KBytes   430 Kbits/sec
[SUM]  2.0- 3.0 sec  31.2 KBytes   256 Kbits/sec
[SUM]  3.0- 4.0 sec  96.4 KBytes   790 Kbits/sec
[SUM]  4.0- 5.0 sec  17.0 KBytes   139 Kbits/sec
[SUM]  5.0- 6.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  6.0- 7.0 sec  61.0 KBytes   499 Kbits/sec
[SUM]  7.0- 8.0 sec  48.2 KBytes   395 Kbits/sec
[SUM] 138.0-139.0 sec   159 KBytes  1.30 Mbits/sec
[SUM] 139.0-140.0 sec   121 KBytes   989 Kbits/sec
[SUM] 140.0-141.0 sec   136 KBytes  1.12 Mbits/sec
[SUM] 141.0-142.0 sec  63.8 KBytes   523 Kbits/sec
[SUM] 142.0-143.0 sec  55.0 KBytes   451 Kbits/sec
[SUM] 143.0-144.0 sec  72.1 KBytes   591 Kbits/sec
[SUM] 144.0-145.0 sec   125 KBytes  1.03 Mbits/sec
[SUM] 145.0-146.0 sec   115 KBytes   943 Kbits/sec
[SUM] 146.0-147.0 sec  35.9 KBytes   294 Kbits/sec
[SUM] 147.0-148.0 sec  62.1 KBytes   508 Kbits/sec
[SUM] 148.0-149.0 sec   125 KBytes  1.02 Mbits/sec
[SUM] 149.0-150.0 sec  25.0 KBytes   205 Kbits/sec
[SUM] 150.0-151.0 sec  94.1 KBytes   771 Kbits/sec
[SUM] 151.0-152.0 sec  55.7 KBytes   456 Kbits/sec
[SUM] 152.0-153.0 sec  76.2 KBytes   624 Kbits/sec
[SUM] 153.0-154.0 sec  34.9 KBytes   286 Kbits/sec
[SUM] 154.0-155.0 sec   117 KBytes   961 Kbits/sec
[SUM] 155.0-156.0 sec  21.5 KBytes   176 Kbits/sec
[SUM] 156.0-157.0 sec  68.1 KBytes   558 Kbits/sec
[SUM] 157.0-158.0 sec   124 KBytes  1.01 Mbits/sec
[SUM] 158.0-159.0 sec  44.1 KBytes   362 Kbits/sec
[SUM] 159.0-160.0 sec   128 KBytes  1.05 Mbits/sec
[SUM] 160.0-161.0 sec  54.9 KBytes   450 Kbits/sec
[SUM] 161.0-162.0 sec  65.3 KBytes   535 Kbits/sec
[SUM] 162.0-163.0 sec  67.7 KBytes   555 Kbits/sec
[SUM] 163.0-164.0 sec  55.5 KBytes   455 Kbits/sec
[SUM] 164.0-165.0 sec   126 KBytes  1.03 Mbits/sec
[SUM] 165.0-166.0 sec  42.2 KBytes   345 Kbits/sec
[SUM] 166.0-167.0 sec  45.2 KBytes   370 Kbits/sec
[SUM] 167.0-168.0 sec   107 KBytes   874 Kbits/sec
[SUM] 168.0-169.0 sec  59.6 KBytes   488 Kbits/sec
[SUM] 169.0-170.0 sec   128 KBytes  1.05 Mbits/sec
[SUM] 170.0-171.0 sec   105 KBytes   860 Kbits/sec
[SUM] 171.0-172.0 sec   115 KBytes   941 Kbits/sec
[SUM] 172.0-173.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 173.0-174.0 sec  34.2 KBytes   280 Kbits/sec
[SUM] 174.0-175.0 sec  73.5 KBytes   602 Kbits/sec
[SUM] 175.0-176.0 sec   128 KBytes  1.05 Mbits/sec
[SUM] 176.0-177.0 sec   165 KBytes  1.35 Mbits/sec
[SUM] 177.0-178.0 sec  3.21 KBytes  26.3 Kbits/sec
[SUM] 178.0-179.0 sec  78.9 KBytes   646 Kbits/sec
[SUM] 179.0-180.0 sec  35.6 KBytes   292 Kbits/sec
[SUM] 180.0-181.0 sec   133 KBytes  1.09 Mbits/sec
[SUM] 181.0-182.0 sec  30.5 KBytes   250 Kbits/sec
[SUM] 182.0-183.0 sec  86.8 KBytes   711 Kbits/sec
[SUM] 183.0-184.0 sec   155 KBytes  1.27 Mbits/sec
[SUM] 184.0-185.0 sec  34.6 KBytes   284 Kbits/sec
[SUM] 185.0-186.0 sec  21.9 KBytes   179 Kbits/sec
[SUM] 186.0-187.0 sec   130 KBytes  1.07 Mbits/sec
[SUM] 187.0-188.0 sec  8.38 KBytes  68.7 Kbits/sec
[SUM] 188.0-189.0 sec  67.0 KBytes   549 Kbits/sec
[SUM] 189.0-190.0 sec   156 KBytes  1.28 Mbits/sec
[SUM] 190.0-191.0 sec   107 KBytes   878 Kbits/sec
[SUM] 191.0-192.0 sec  24.4 KBytes   200 Kbits/sec
[SUM] 192.0-193.0 sec   139 KBytes  1.14 Mbits/sec
[SUM] 193.0-194.0 sec  60.6 KBytes   496 Kbits/sec
[SUM] 194.0-195.0 sec   126 KBytes  1.04 Mbits/sec
[SUM] 195.0-196.0 sec  51.4 KBytes   421 Kbits/sec
[SUM] 196.0-197.0 sec  62.3 KBytes   510 Kbits/sec
[SUM] 197.0-198.0 sec   109 KBytes   893 Kbits/sec
[SUM] 198.0-199.0 sec   143 KBytes  1.17 Mbits/sec
[SUM] 199.0-200.0 sec  35.7 KBytes   293 Kbits/sec
[SUM] 200.0-201.0 sec   107 KBytes   878 Kbits/sec
[SUM] 201.0-202.0 sec  79.1 KBytes   648 Kbits/sec
[SUM] 202.0-203.0 sec   113 KBytes   928 Kbits/sec
[SUM] 203.0-204.0 sec  25.7 KBytes   211 Kbits/sec
[SUM] 204.0-205.0 sec  77.6 KBytes   636 Kbits/sec
[SUM] 205.0-206.0 sec  50.0 KBytes   410 Kbits/sec
[SUM] 206.0-207.0 sec  80.5 KBytes   660 Kbits/sec
[SUM] 207.0-208.0 sec   194 KBytes  1.59 Mbits/sec
[SUM] 208.0-209.0 sec   104 KBytes   849 Kbits/sec
[SUM] 209.0-210.0 sec   158 KBytes  1.30 Mbits/sec
[SUM] 210.0-211.0 sec   157 KBytes  1.28 Mbits/sec
[SUM] 211.0-212.0 sec  72.6 KBytes   594 Kbits/sec
[SUM] 212.0-213.0 sec  39.7 KBytes   325 Kbits/sec
[SUM] 213.0-214.0 sec  83.9 KBytes   687 Kbits/sec
